salary,bonus,total_payments,total_stock_value,to_messages,from_this_person_to_poi,from_messages,from_poi_to_this_person,shared_receipt_with_poi,check from,check to,check shared,,
170941,350000,211725,6678735,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
304588,2500000,3676340,2332399,1755,37,75,42,1604,TRUE,TRUE,TRUE,0.913960114,0.023931624
440698,1300000,2424083,1794412,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
199157,350000,1414857,1621236,936,8,16,1,723,TRUE,TRUE,TRUE,0.772435897,0.001068376
0,0,0,1884748,517,0,36,0,10,TRUE,TRUE,TRUE,0.01934236,0
0,0,181755,343434,57,0,13,0,2,TRUE,TRUE,TRUE,0.035087719,0
1060932,2000000,17252530,14622185,3275,6,21,242,2979,TRUE,TRUE,TRUE,0.909618321,0.07389313
0,0,50591,176378,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
192008,509870,900585,318607,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
231946,850000,1566469,896153,209,27,44,10,178,TRUE,TRUE,TRUE,0.851674641,0.04784689
0,0,0,1945360,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
0,0,966522,2218275,169,0,12,0,23,TRUE,TRUE,TRUE,0.136094675,0
0,0,0,85641,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
274975,600000,1272284,778546,873,6,16,52,874,TRUE,TRUE,FALSE,1.001145475,0.059564719
272880,750000,2146973,877611,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
0,0,119292,0,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
6615,0,1146658,0,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
374125,1150000,3859065,803094,4009,61,1941,180,1847,TRUE,TRUE,TRUE,0.460713395,0.044898977
243293,1500000,288682,6391065,1045,21,32,32,1035,TRUE,TRUE,TRUE,0.990430622,0.03062201
0,0,475,2217299,573,7,19,4,471,TRUE,TRUE,TRUE,0.821989529,0.006980803
0,0,7961,151418,504,0,12,16,50,TRUE,TRUE,TRUE,0.099206349,0.031746032
0,0,0,346663,2649,38,1061,35,571,TRUE,TRUE,TRUE,0.215553039,0.013212533
262663,700000,1297461,668132,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
211788,1700000,2081796,441096,1320,1,27,40,900,TRUE,TRUE,TRUE,0.681818182,0.03030303
0,0,91093,30766064,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
0,0,3131860,7256648,2350,15,1073,44,1074,TRUE,TRUE,TRUE,0.457021277,0.018723404
0,0,0,1118394,719,5,34,35,589,TRUE,TRUE,TRUE,0.819193324,0.04867872
130724,0,3100224,2282768,128,17,17,10,119,TRUE,TRUE,TRUE,0.9296875,0.078125
85274,0,1979596,5819980,496,5,19,28,437,TRUE,TRUE,TRUE,0.881048387,0.056451613
288558,250000,551174,725735,258,19,56,25,117,TRUE,TRUE,TRUE,0.453488372,0.096899225
0,0,83750,431750,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
275101,400000,1086821,976037,4607,171,14368,41,583,TRUE,TRUE,TRUE,0.12654656,0.008899501
404338,1000000,1747522,6153642,12754,387,6759,140,3639,TRUE,TRUE,TRUE,0.285322252,0.010976948
174246,0,704896,1034346,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
271442,3100000,3471141,547143,8305,194,1728,251,3669,TRUE,TRUE,TRUE,0.441782059,0.030222757
309946,700000,1587421,1920055,2374,15,61,53,2271,TRUE,TRUE,TRUE,0.956613311,0.02232519
224305,800000,2652612,985032,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
339288,8000000,10425757,5167144,7259,411,2585,528,3962,TRUE,TRUE,TRUE,0.545805207,0.072737292
1072321,7000000,103559793,49110078,4273,16,36,123,2411,TRUE,TRUE,TRUE,0.56424058,0.028785397
273746,1000000,2664228,360528,2822,14,63,67,2672,TRUE,TRUE,TRUE,0.946846208,0.023742027
0,0,87492,412878,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
0,0,0,850477,952,0,26,10,739,TRUE,TRUE,TRUE,0.776260504,0.010504202
236457,200000,875889,3064208,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
0,0,0,372205,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
349487,0,8407016,2070306,1522,0,230,8,477,TRUE,TRUE,TRUE,0.313403417,0.005256242
0,0,0,758931,1433,2,215,25,508,TRUE,TRUE,TRUE,0.354501047,0.017445918
263413,900000,1318763,947861,1744,0,49,52,1469,TRUE,TRUE,TRUE,0.842316514,0.029816514
365038,1100000,2101364,3101279,3329,194,2742,92,2189,TRUE,TRUE,TRUE,0.657554821,0.027635927
0,0,0,1691366,894,1,13,54,720,TRUE,TRUE,TRUE,0.805369128,0.060402685
370448,2600000,4099771,1662855,2355,26,48,58,2228,TRUE,TRUE,TRUE,0.946072187,0.02462845
0,0,148,0,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
365788,600000,1061827,585062,807,1,29,38,702,TRUE,TRUE,TRUE,0.869888476,0.04708798
0,0,2151,0,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
0,0,1848227,955873,232,0,28,0,22,TRUE,TRUE,TRUE,0.094827586,0
0,0,0,221141,672,0,19,0,127,TRUE,TRUE,TRUE,0.188988095,0
267093,325000,628522,208510,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
251654,1100000,3202070,1416848,136,0,16,12,114,TRUE,TRUE,TRUE,0.838235294,0.088235294
229284,400000,812194,597461,2192,2,45,11,395,TRUE,TRUE,TRUE,0.18020073,0.005018248
0,0,774401,368705,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
329078,750000,1321557,2606763,1184,15,52,20,856,TRUE,TRUE,TRUE,0.722972973,0.016891892
94941,0,249787,7307594,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
261879,1000000,3123383,23817930,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
0,0,27942,0,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
655037,300000,1386690,28798,898,0,67,7,728,TRUE,TRUE,TRUE,0.810690423,0.0077951
197091,400000,1737629,880290,1238,48,222,61,742,TRUE,TRUE,TRUE,0.599353796,0.049273021
0,0,0,47304,58,1,16,0,3,TRUE,TRUE,TRUE,0.051724138,0
0,0,0,0,653,0,26,0,12,TRUE,TRUE,TRUE,0.018376723,0
0,0,564348,1095040,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
96840,0,111529,7890324,1671,49,221,204,1063,TRUE,TRUE,TRUE,0.63614602,0.122082585
76399,100000,394475,4221891,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
420636,1750000,505050,22542539,905,4,18,42,864,TRUE,TRUE,TRUE,0.954696133,0.04640884
249201,700000,1099100,1918887,1328,48,82,35,1258,TRUE,TRUE,TRUE,0.947289157,0.026355422
0,0,3750,0,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
0,0,0,759557,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
304110,2000000,3038702,2072035,3221,83,2681,94,1730,TRUE,TRUE,TRUE,0.537100279,0.029183483
269076,650000,1057548,987001,15149,65,1215,74,4527,TRUE,TRUE,TRUE,0.298831606,0.004884811
248146,600000,1576511,494136,3136,6,136,24,2477,TRUE,TRUE,TRUE,0.789859694,0.007653061
211844,200000,2003885,2493616,225,14,39,13,91,TRUE,TRUE,TRUE,0.404444444,0.057777778
0,0,0,1832468,613,18,25,39,583,TRUE,TRUE,TRUE,0.951060359,0.063621533
428780,1500000,4335388,3128982,3187,23,92,28,2103,TRUE,TRUE,TRUE,0.659868215,0.008785692
1111258,5600000,8682716,26093672,3627,30,108,88,2042,TRUE,TRUE,TRUE,0.562999724,0.024262476
239502,500000,1112087,511734,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
162779,100000,999356,1362375,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
257486,700000,1545059,698920,2647,13,38,37,2565,TRUE,TRUE,TRUE,0.969021534,0.013978088
265214,600000,1092663,3745048,533,0,29,0,300,TRUE,TRUE,TRUE,0.562851782,0
0,0,362096,0,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
222093,0,911453,4817796,266,0,41,0,73,TRUE,TRUE,TRUE,0.27443609,0
247338,300000,399393,1168042,460,11,19,10,379,TRUE,TRUE,TRUE,0.823913043,0.02173913
288589,788750,1130461,0,111,0,18,12,41,TRUE,TRUE,TRUE,0.369369369,0.108108108
0,0,228656,0,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
0,0,213071,0,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
357091,850000,1798780,5898997,671,0,146,17,215,TRUE,TRUE,TRUE,0.320417288,0.02533532
0,0,87410,1030329,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
259996,325000,1034395,2056427,400,7,30,22,337,TRUE,TRUE,TRUE,0.8425,0.055
63744,0,762135,384930,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
0,0,0,98718,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
510364,3000000,4677574,6079137,6019,24,556,186,3920,TRUE,TRUE,TRUE,0.651270975,0.030902143
317543,450000,1934359,15144123,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
0,0,84992,0,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
0,0,189583,0,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
0,0,0,139130,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
158403,0,360300,11884758,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
0,0,55097,192758,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
